ticket_date,net_weight_kg,month,day,week_number,quarter,lag_1,lag_2,rolling_7,day_of_week
1/1/2012,17340,-1.601266528,1,52,1,,,,1.49927
1/2/2012,25980,-1.601266528,2,1,1,-0.62455,,,-1.49927
1/3/2012,29220,-1.601266528,3,1,1,0.26914,-0.62463,,-0.99951
1/4/2012,7450,-1.601266528,4,1,1,0.60428,0.26892,,-0.49976
1/5/2012,10520,-1.601266528,5,1,1,-1.64754,0.60400,,0.00000
1/6/2012,29260,-1.601266528,6,1,1,-1.32999,-1.64746,,0.49976
1/7/2012,11820,-1.601266528,7,1,1,0.60841,-1.32996,-0.80362,0.99951
1/8/2012,20680,-1.601266528,8,1,1,-1.19552,0.60814,-0.72007,1.49927
1/9/2012,23940,-1.601266528,9,2,1,-0.27907,-1.19551,-0.77110,-1.49927
1/10/2012,23330,-1.601266528,10,2,1,0.05813,-0.27921,-0.91844,-0.99951
1/11/2012,21590,-1.601266528,11,2,1,-0.00496,0.05794,-0.56472,-0.49976
1/12/2012,25340,-1.601266528,12,2,1,-0.18494,-0.00514,-0.19399,0.00000
1/13/2012,22270,-1.601266528,13,2,1,0.20294,-0.18509,-0.36885,0.49976
1/14/2012,15710,-1.601266528,14,2,1,-0.11461,0.20273,-0.27153,0.99951
1/15/2012,11870,-1.601266528,15,2,1,-0.79315,-0.11477,-0.49192,1.49927
1/16/2012,23560,-1.601266528,16,3,1,-1.19035,-0.79321,-0.50143,-1.49927
1/17/2012,22890,-1.601266528,17,3,1,0.01883,-1.19034,-0.51244,-0.99951
1/18/2012,27120,-1.601266528,18,3,1,-0.05048,0.01864,-0.37410,-0.49976
1/19/2012,30750,-1.601266528,19,3,1,0.38706,-0.05065,-0.23876,0.00000
1/20/2012,20460,-1.601266528,20,3,1,0.76253,0.38682,-0.28404,0.49976
1/21/2012,17470,-1.601266528,21,3,1,-0.30183,0.76224,-0.24001,0.99951
1/22/2012,10640,-1.601266528,22,3,1,-0.61110,-0.30196,-0.27078,1.49927
1/23/2012,21490,-1.601266528,23,4,1,-1.31757,-0.61119,-0.32257,-1.49927
1/24/2012,16470,-1.601266528,24,4,1,-0.19529,-1.31755,-0.48317,-0.99951
1/25/2012,21840,-1.601266528,25,4,1,-0.71454,-0.19544,-0.61525,-0.49976
1/26/2012,32950,-1.601266528,26,4,1,-0.15909,-0.71461,-0.56022,0.00000
1/27/2012,25050,-1.601266528,27,4,1,0.99009,-0.15924,-0.44539,0.49976
1/28/2012,17420,-1.601266528,28,4,1,0.17295,0.98976,-0.44665,0.99951
1/29/2012,11400,-1.601266528,29,4,1,-0.61627,0.17274,-0.42763,1.49927
